"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40020807,,"BEARCHILDCARE PTY LTD",bearchildcare,"110 Parraweena Rd",MIRANDA,NSW,2228,21/10/2019,
PR-40020838,,"COTTAGE CHILDCARE (NSW) PTY LIMITED",,"Unit 5, 50 Alliance Ave",MORISSET,NSW,2264,24/10/2019,
PR-40020851,,"BUNGALOW GROUP PTY LIMITED","Bungalow OOSH Care","7 Taronga Ave",MANGERTON,NSW,2500,30/10/2019,
PR-40020869,,"FANESK PTY LTD",,"61b Tara St",SYLVANIA,NSW,2224,08/11/2019,
PR-40020925,,"Amy Benn",,"Koolang, 1720 Grabben Gullen Rd",GURRUNDAH,NSW,2581,30/10/2019,
PR-40020926,,"Lake Cathie Little Learners NSW Pty Ltd","Lake Cathie Little Learners","976 Ocean Dr","BONNY HILLS",NSW,2445,05/11/2019,"The approved provider must ensure that a child being educated and cared for by any service operated by the approved provider is not transported by the service or on transportation arranged by the service, except in an emergency, including an emergency evacuation. An emergency means an incident, situation or event where there is an imminent or severe risk to the health, safety or wellbeing of a child at the education and care service premises."
PR-40020931,,"QUEEN ANNE ACADEMY-AUSTRALIA PTY. LTD.",,"104 Old Kent Road","MT LEWIS",NSW,2190,21/02/2020,
PR-40020935,,"BRIGHT BEGINNERS PTY LTD",,"70 Noble Ave",GREENACRE,NSW,2190,11/06/2020,
PR-40020938,,"MIRKIN PTY. LTD.",,"12 King St",BONDI,NSW,2026,05/12/2019,
PR-40020981,,"JOCKBLIK AUST PTY LTD",,"91 Humphries Rd","ST JOHNS PARK",NSW,2176,27/02/2020,
PR-40020995,,"Expert Solutions (NSW) Pty Ltd","Expert solutions pty ltd","17 Lorrina Cl","WEST PENNANT HILLS",NSW,2125,08/11/2019,
PR-40021005,,"Carolina Gallardo",,"12 Baron Cl","KINGS LANGLEY",NSW,2147,16/01/2020,
PR-40021044,,"Z SQUARE PTY LTD","Zahra Early Learning Centre","U 2  30 Middleton Rd",LEUMEAH,NSW,2560,07/05/2020,
PR-40021048,,"LANE COVE WEST MONTESSORI ACADEMY PTY LTD","Montessori Academy","60-70 Parramatta Rd","SUMMER HILL",NSW,2130,12/12/2019,
PR-40021095,,"LEAD EARLY LEARNING CENTRES PTY LTD","Lead Early Learning Centres Trust","75 KILLEATON ST","ST IVES",NSW,2075,14/10/2020,
PR-40021114,,"Strathfield Council","Strathfield Council","61-65 Homebush Rd",STRATHFIELD,NSW,2135,24/10/2019,
PR-40021147,,"Annalisa Nickols",,"73 Pretoria Rd","SEVEN HILLS",NSW,2147,18/12/2019,
PR-40021157,,"KIS EARLY EDUCATION PTY LTD",,"70 Holford Cres",GORDON,NSW,2072,12/02/2020,
PR-40021161,,"Jason Yeeles","J YEELES ENTERPRISES","5 Church St",LAMBTON,NSW,2299,04/12/2019,
PR-40021173,,"Imran Khalid Kazi",,"6 MORSTONE PL","WINDSOR DOWNS",NSW,2756,22/01/2020,
PR-40021212,,"Manju Sood","Kids Foundation Australia","751 Pennant Hills Rd",CARLINGFORD,NSW,2118,19/12/2019,
PR-40021213,,"MMIS GROUP PTY LTD",,"7 Stanley St",LEICHHARDT,NSW,2040,12/11/2019,
PR-40027436,,"Little Pilots Academy Pty Ltd","Little Pilots Academy","P O Box 364","HOXTON PARK",NSW,2171,09/03/2022,
PR-40027457,,"Bombala Little Stars Pty Ltd","Bombala Little Stars","10 Pryce St",BERRIDALE,NSW,2628,30/05/2022,
PR-40027466,,"KIDZ ACADEMY PARRAMATTA PTY LTD","Kidz Academy Parramatta Pty Ltd","level 1, 15 Sorrell St",PARRAMATTA,NSW,2150,20/09/2022,
